event_key,wallet,user_name,received_at_utc,received_at_unix,api_timestamp,api_timestamp_utc,latency_seconds,type,side,condition_id,transaction_hash,asset,outcome_index,outcome,title,slug,event_slug,icon,size,usdc_size,price,raw_json
8b02455c4e90cee6c2b31f686021b575fd20e37e560ccb929eba4b559aabff53,0x204f72f35326db932158cba6adff0b9a1da95e14,swisstony,2026-04-01T05:55:39Z,1775022939,1775022937,2026-04-01T05:55:37Z,2,Trade,BUY,NA,0xf800e7af5ea396cc75efdea6b63828e2e0730394b90c142016e0d3dcbd33146d,11612949244832362480011256208690553820364947382124588174743023058030195544414,NA,NA,NA,NA,NA,NA,184.0,88.32,0.48,{}
7771706d7d95840f009f9171ea8f0ccefa2980d802316d11362202756dda1b25,0x204f72f35326db932158cba6adff0b9a1da95e14,swisstony,2026-04-01T05:55:53Z,1775022953,1775022951,2026-04-01T05:55:51Z,2,Trade,BUY,NA,0x428132f96c0ade9ad6814de10869cbff591af02daa19c383d2b4213affed478a,36298710513494815098910709750846902894746832609051609344374306067022647811725,NA,NA,NA,NA,NA,NA,68.0,21.76,0.32,{}
bf85c3c6d718ec2c9e5b94e23c5a759ddf84d36fefb8ccca2f416ecfc3f2dc84,0x204f72f35326db932158cba6adff0b9a1da95e14,swisstony,2026-04-01T05:55:58Z,1775022958,1775022957,2026-04-01T05:55:57Z,1,Trade,BUY,NA,0x1c53ec5c4560d88edceece299e3455697df88b3f453bc1c74df21fbcaa2ea1ac,36298710513494815098910709750846902894746832609051609344374306067022647811725,NA,NA,NA,NA,NA,NA,7.0,2.24,0.32,{}
6c56eace9425aafd5abc1ca29f0ba2aed90b595fde3d2c3a23cb02f1a275dd3d,0x204f72f35326db932158cba6adff0b9a1da95e14,swisstony,2026-04-01T05:56:07Z,1775022967,1775022961,2026-04-01T05:56:01Z,6,Trade,BUY,NA,0x3fb5c21528b8e4618eb0eea0b911e4e8116922677f482e75c1a6226fed141cf5,36298710513494815098910709750846902894746832609051609344374306067022647811725,NA,NA,NA,NA,NA,NA,26.0,8.32,0.32,{}
10cd9cebb3a3e0ef3e8397a347d4d0e8c9100f8af0b9045275c42195fa28772f,0x204f72f35326db932158cba6adff0b9a1da95e14,swisstony,2026-04-01T05:56:35Z,1775022995,1775022993,2026-04-01T05:56:33Z,2,Trade,BUY,NA,0x957baac2a1314281044ca0dd76e139ec55666f615d1c37a1b52ac24c6003c40b,90944336657739621254392920315410030627827392387702697230995024143089531480894,NA,NA,NA,NA,NA,NA,19.0,12.16,0.64,{}
e2e8a3af2298571ef8142a04dbd9bef638941a71411af90de91f227263b480fb,0x204f72f35326db932158cba6adff0b9a1da95e14,swisstony,2026-04-01T05:58:22Z,1775023102,1775023101,2026-04-01T05:58:21Z,1,Trade,BUY,NA,0xbd8bac5b0f7d5113666fd243b6c0a662b4a16756bf086dcedbdee8f4ead35f31,73805464578740974102390917268545931148392282040787682444320698048276022395223,NA,NA,NA,NA,NA,NA,31.0,15.81,0.51,{}
8f99603bece1a03fc4facc86628d938ad0c02d20d248c511ac02863f7db6126b,0x204f72f35326db932158cba6adff0b9a1da95e14,swisstony,2026-04-01T05:58:24Z,1775023104,1775023103,2026-04-01T05:58:23Z,1,Trade,BUY,NA,0xf795fcc6370b8529c83927b971677a1f1dd2b6a0c6cf6a4d946ddcf22a26325e,73805464578740974102390917268545931148392282040787682444320698048276022395223,NA,NA,NA,NA,NA,NA,33.0,16.83,0.5099999999999999,{}
